Region_Code,Region_Name,Year,Model,Forecast_Births
01,Stockholms län,2024,exp_smoothing,25085.451469734628
01,Stockholms län,2025,exp_smoothing,24539.736257402095
01,Stockholms län,2026,exp_smoothing,24103.16408753607
01,Stockholms län,2027,exp_smoothing,23753.90635164325
01,Stockholms län,2028,exp_smoothing,23474.500162928995
01,Stockholms län,2029,exp_smoothing,23250.97521195759
01,Stockholms län,2030,exp_smoothing,23072.155251180466
03,Uppsala län,2024,exp_smoothing,3729.7884385073394
03,Uppsala län,2025,exp_smoothing,3653.706283858168
03,Uppsala län,2026,exp_smoothing,3592.8405601388304
03,Uppsala län,2027,exp_smoothing,3544.1479811633603
03,Uppsala län,2028,exp_smoothing,3505.193917982984
03,Uppsala län,2029,exp_smoothing,3474.0306674386834
03,Uppsala län,2030,exp_smoothing,3449.1000670032427
04,Södermanlands län,2024,exp_smoothing,2343.1949349598976
04,Södermanlands län,2025,exp_smoothing,2196.950879692875
04,Södermanlands län,2026,exp_smoothing,2079.9556354792567
04,Södermanlands län,2027,exp_smoothing,1986.359440108362
04,Södermanlands län,2028,exp_smoothing,1911.482483811646
04,Södermanlands län,2029,exp_smoothing,1851.5809187742734
04,Södermanlands län,2030,exp_smoothing,1803.6596667443755
05,Östergötlands län,2024,exp_smoothing,4116.5073344544535
05,Östergötlands län,2025,exp_smoothing,3935.701070900972
05,Östergötlands län,2026,exp_smoothing,3791.0560600581866
05,Östergötlands län,2027,exp_smoothing,3675.340051383959
05,Östergötlands län,2028,exp_smoothing,3582.767244444576
05,Östergötlands län,2029,exp_smoothing,3508.70899889307
05,Östergötlands län,2030,exp_smoothing,3449.4624024518653
06,Jönköpings län,2024,exp_smoothing,3432.852426873254
06,Jönköpings län,2025,exp_smoothing,3307.0065477683643
06,Jönköpings län,2026,exp_smoothing,3206.329844484452
06,Jönköpings län,2027,exp_smoothing,3125.788481857323
06,Jönköpings län,2028,exp_smoothing,3061.355391755619
06,Jönköpings län,2029,exp_smoothing,3009.8089196742567
06,Jönköpings län,2030,exp_smoothing,2968.5717420091664
07,Kronobergs län,2024,drift,1955.7209090909091
07,Kronobergs län,2025,drift,1949.5336818181818
07,Kronobergs län,2026,drift,1944.2745386363636
07,Kronobergs län,2027,drift,1939.8042669318181
07,Kronobergs län,2028,drift,1936.0045359829546
07,Kronobergs län,2029,drift,1932.7747646764205
07,Kronobergs län,2030,drift,1930.0294590658664
08,Kalmar län,2024,drift,2091.4327272727273
08,Kalmar län,2025,drift,2077.3505454545457
08,Kalmar län,2026,drift,2065.380690909091
08,Kalmar län,2027,drift,2055.2063145454545
08,Kalmar län,2028,drift,2046.5580946363636
08,Kalmar län,2029,drift,2039.2071077136363
08,Kalmar län,2030,drift,2032.9587688293182
09,Gotlands län,2024,exp_smoothing,453.80887269189407
09,Gotlands län,2025,exp_smoothing,449.5878222106961
09,Gotlands län,2026,exp_smoothing,445.38787698190424
09,Gotlands län,2027,exp_smoothing,441.20893147925625
09,Gotlands län,2028,exp_smoothing,437.05088070412154
09,Gotlands län,2029,exp_smoothing,432.9136201828625
09,Gotlands län,2030,exp_smoothing,428.79704596420976
10,Blekinge län,2024,drift,1287.2918181818181
10,Blekinge län,2025,drift,1275.6398636363635
10,Blekinge län,2026,drift,1265.7357022727272
10,Blekinge län,2027,drift,1257.3171651136363
10,Blekinge län,2028,drift,1250.161408528409
10,Blekinge län,2029,drift,1244.079015430966
10,Blekinge län,2030,drift,1238.9089812981392
12,Skåne län,2024,exp_smoothing,13311.595317651747
12,Skåne län,2025,exp_smoothing,12855.337614138629
12,Skåne län,2026,exp_smoothing,12490.331451328137
12,Skåne län,2027,exp_smoothing,12198.326521079742
12,Skåne län,2028,exp_smoothing,11964.722576881026
12,Skåne län,2029,exp_smoothing,11777.839421522052
