Region_Code,Region_Name,Year,School_Type,Forecast_Students,Fixed_Total_Cost_kr,Current_Total_Cost_kr
01,Stockholms Län,2024,grundskola,300760.5663460513,43347314163.224724,39999949932.067505
01,Stockholms Län,2024,gymnasieskola,89061.3537328002,13438816284.278736,12401077259.1867
01,Stockholms Län,2025,grundskola,304369.8537632889,44964192709.872856,41491969960.54319
01,Stockholms Län,2025,gymnasieskola,92242.7461442443,14266840764.364567,13165162081.304155
01,Stockholms Län,2026,grundskola,308050.8483939634,46645681163.47751,43043610592.815575
01,Stockholms Län,2026,gymnasieskola,94466.1969543147,14976001930.180649,13819562157.952883
01,Stockholms Län,2027,grundskola,311196.8347153789,48300104080.44363,44570275742.03152
01,Stockholms Län,2027,gymnasieskola,97318.67010665448,15813918145.411652,14592774880.115091
01,Stockholms Län,2028,grundskola,316508.10664444463,50352565024.939926,46464241645.1607
01,Stockholms Län,2028,gymnasieskola,98262.82479167526,16366523226.701807,15102708058.896257
01,Stockholms Län,2029,grundskola,319882.32978588395,52161596684.44498,48133576347.95798
01,Stockholms Län,2029,gymnasieskola,99140.59803342918,16925542049.700031,15618559713.290138
01,Stockholms Län,2030,grundskola,322833.27301825985,53958861902.87125,49792053237.229416
01,Stockholms Län,2030,gymnasieskola,99601.33422354418,17429305139.85146,16083422456.343086
03,Uppsala Län,2024,grundskola,49437.128511263465,7125158616.837359,6574939957.256428
03,Uppsala Län,2024,gymnasieskola,14775.609913239226,2229549617.0867205,2057384852.1932125
03,Uppsala Län,2025,grundskola,50678.579867649154,7486685699.181763,6908549212.455246
03,Uppsala Län,2025,gymnasieskola,15584.659990417356,2410421108.911462,2224289533.130545
03,Uppsala Län,2026,grundskola,52053.564130188766,7882055733.650092,7273388000.939861
03,Uppsala Län,2026,gymnasieskola,16086.906030526803,2550304167.3236356,2353370888.0598497
03,Uppsala Län,2027,grundskola,53084.628704736795,8239136152.703882,7602893972.869051
03,Uppsala Län,2027,gymnasieskola,16740.244553843695,2720226826.142743,2510172199.6878157
03,Uppsala Län,2028,grundskola,54554.77565438415,8678996938.439405,8008787849.944086
03,Uppsala Län,2028,gymnasieskola,16934.457961072563,2820580419.289758,2602776535.9275312
03,Uppsala Län,2029,grundskola,55504.18520729723,9050787284.873453,8351867819.941508
03,Uppsala Län,2029,gymnasieskola,17555.349067921474,2997095082.542035,2765660820.5301538
03,Uppsala Län,2030,grundskola,56672.49961957902,9472330878.640333,8740858994.374275
03,Uppsala Län,2030,gymnasieskola,17702.019070182858,3097688342.9414353,2858486317.0305986
04,Södermanlands Län,2024,grundskola,38643.4090136708,5569506704.965581,5139418523.280527
04,Södermanlands Län,2024,gymnasieskola,11681.492080142907,1762666065.713324,1626553827.410311
04,Södermanlands Län,2025,grundskola,39903.32232875101,5894869852.48386,5439656493.307108
04,Södermanlands Län,2025,gymnasieskola,12036.147664864275,1861585971.0255575,1717835184.5104523
04,Södermanlands Län,2026,grundskola,40959.482966220385,6202167574.0356245,5723224084.831319
04,Södermanlands Län,2026,gymnasieskola,12228.284117069805,1938585572.875339,1788888913.593929
04,Södermanlands Län,2027,grundskola,41884.24883569504,6500752425.536468,5998751631.140985
04,Södermanlands Län,2027,gymnasieskola,12650.31893606775,2055629284.1762464,1896894564.9727993
04,Södermanlands Län,2028,grundskola,42957.11072768111,6833950429.045267,6306219434.281694
04,Södermanlands Län,2028,gymnasieskola,12953.502553281589,2157517869.600112,1990915362.1131494
04,Södermanlands Län,2029,grundskola,43756.693101516634,7135183051.011613,6584190285.052
04,Södermanlands Län,2029,gymnasieskola,13370.664599398266,2282674811.314362,2106407744.097538
04,Södermanlands Län,2030,grundskola,44282.25435476012,7401405763.219369,6829854759.648762
04,Södermanlands Län,2030,gymnasieskola,13663.087856906073,2390913026.08598,2206287855.216366
05,Östergötlands Län,2024,grundskola,56611.78863624244,8159211219.644303,7529140999.186099
05,Östergötlands Län,2024,gymnasieskola,17433.671012311876,2630634860.973707,2427498483.6133337
05,Östergötlands Län,2025,grundskola,57387.11516600233,8477729556.602438,7823062728.287827
05,Östergötlands Län,2025,gymnasieskola,17838.507964481185,2759015350.704433,2545965492.763939
05,Östergötlands Län,2026,grundskola,58051.687393373446,8790303663.407238,8111499252.294197
05,Östergötlands Län,2026,gymnasieskola,18276.52917611227,2897431515.6439543,2673693227.039418
05,Östergötlands Län,2027,grundskola,58522.28976102943,9083102304.266188,8381687410.444758
05,Östergötlands Län,2027,gymnasieskola,18796.04777687433,3054287123.683296,2818436519.356624
05,Östergötlands Län,2028,grundskola,59577.4529541879,9478043408.430025,8746130391.460442
05,Östergötlands Län,2028,gymnasieskola,18933.061378340695,3153465101.9663715,2909956021.1550946
05,Östergötlands Län,2029,grundskola,59833.06424899905,9756675737.105682,9003246187.71287
05,Östergötlands Län,2029,gymnasieskola,19267.080047879666,3289326269.9037213,3035326054.0861487
05,Östergötlands Län,2030,grundskola,60052.80210604226,10037319962.174747,9262218517.79117
05,Östergötlands Län,2030,gymnasieskola,19393.83037675506,3393739552.8089375,3131676592.7647414
06,Jönköpings Län,2024,grundskola,46488.950776500846,6700250564.460773,6182844134.276577
06,Jönköpings Län,2024,gymnasieskola,13958.3278451037,2106226726.6772556,1943584896.9409728
06,Jönköpings Län,2025,grundskola,47367.2392771599,6997505333.262286,6457144309.469813
06,Jönköpings Län,2025,gymnasieskola,14390.163279148177,2225672767.3282046,2053807370.9358895
06,Jönköpings Län,2026,grundskola,48144.26569425512,7290101874.843529,6727145974.84347
06,Jönköpings Län,2026,gymnasieskola,14761.344732739944,2340159065.750114,2159453091.646373
06,Jönköpings Län,2027,grundskola,48896.05986843874,7589038567.5972395,7002998192.53752
06,Jönköpings Län,2027,gymnasieskola,15148.070730757547,2461504563.6626086,2271428347.7132125
06,Jönköpings Län,2028,grundskola,49493.707114089026,7873842892.078233,7265809371.028968
06,Jönköpings Län,2028,gymnasieskola,15563.338670404653,2592208644.2581453,2392039521.14315
06,Jönköpings Län,2029,grundskola,49859.98441576955,8130415954.9198475,7502569361.023658
06,Jönköpings Län,2029,gymnasieskola,15857.462959693046,2707227527.872537,2498176701.069933
06,Jönköpings Län,2030,grundskola,50240.70184802284,8397310065.271554,7748853387.088855
06,Jönköpings Län,2030,gymnasieskola,15985.329627820756,2797283691.19112,2581278770.1328278
07,Kronobergs Län,2024,grundskola,25552.201360456602,3682727803.6818094,3398340372.5087123
07,Kronobergs Län,2024,gymnasieskola,7744.149511304318,1168545033.2659516,1078310539.5467281
07,Kronobergs Län,2025,grundskola,26094.970555560994,3854978639.675724,3557289662.643942
07,Kronobergs Län,2025,gymnasieskola,8096.042036979186,1252184560.751946,1155491462.355314
07,Kronobergs Län,2026,grundskola,26739.504095241435,4048949675.025712,3736281875.9343624
07,Kronobergs Län,2026,gymnasieskola,8287.128561717851,1313782679.279047,1212333003.3598402
07,Kronobergs Län,2027,grundskola,27371.061245079123,4248195866.576358,3920141887.5643907
07,Kronobergs Län,2027,gymnasieskola,8589.730421334705,1395798911.1983461,1288015980.7161446
07,Kronobergs Län,2028,grundskola,28040.16090977373,4460846328.669991,4116371065.795523
07,Kronobergs Län,2028,gymnasieskola,8687.43254858284,1446967018.1803277,1335232910.724496
07,Kronobergs Län,2029,grundskola,28531.15716704052,4652431767.906154,4293161903.3616776
07,Kronobergs Län,2029,gymnasieskola,8802.162998207821,1502728275.900103,1386688310.5472689
07,Kronobergs Län,2030,grundskola,28854.421559104107,4822773481.92318,4450349497.64645
07,Kronobergs Län,2030,gymnasieskola,9009.855810005674,1576640789.03003,1454893334.4389298
08,Kalmar Län,2024,grundskola,28622.75164896022,4125272880.740227,3806711254.6898656
08,Kalmar Län,2024,gymnasieskola,8525.373200301685,1286426933.7012417,1187089655.492225
08,Kalmar Län,2025,grundskola,29213.86886485405,4315729738.667986,3982460662.1996965
08,Kalmar Län,2025,gymnasieskola,8848.248056271826,1368525454.1861367,1262848567.1300845
08,Kalmar Län,2026,grundskola,29691.758102421198,4495985934.949885,4148797123.071774
08,Kalmar Län,2026,gymnasieskola,9109.488365225987,1444153779.2249553,1332636908.7481213
08,Kalmar Län,2027,grundskola,30132.080566949742,4676726962.454745,4315580975.553189
08,Kalmar Län,2027,gymnasieskola,9456.833648637441,1536699926.8529992,1418036686.7120526
08,Kalmar Län,2028,grundskola,30757.066095221708,4893072682.892715,4515220057.064672
08,Kalmar Län,2028,gymnasieskola,9577.539145044335,1595221969.288366,1472039684.7629583
08,Kalmar Län,2029,grundskola,30899.275134737254,5038588810.137486,4649499144.857322
08,Kalmar Län,2029,gymnasieskola,9919.163930395905,1693425594.8826728,1562660072.9255607
08,Kalmar Län,2030,grundskola,31130.345936925565,5203175068.339893,4801375730.862456
08,Kalmar Län,2030,gymnasieskola,9957.555375134018,1742479379.750654,1607925947.771621
09,Gotlands Län,2024,grundskola,6904.172972972972,995068464.3689624,918227334.7746619
09,Gotlands Län,2024,gymnasieskola,2057.4,310449139.43512493,286476404.0034374
09,Gotlands Län,2025,grundskola,7008.554210329961,1035365290.7293165,955412361.5277812
09,Gotlands Län,2025,gymnasieskola,2123.8010778443113,328480374.43951637,303115275.58542293
09,Gotlands Län,2026,grundskola,7055.740472361363,1068394462.0243472,985890955.7291209
09,Gotlands Län,2026,gymnasieskola,2247.406886227545,356287973.3829247,328775584.9158733
09,Gotlands Län,2027,grundskola,7062.543647260027,1096160227.8099184,1011512594.8707358
09,Gotlands Län,2027,gymnasieskola,2407.180119760479,391157722.7004408,360952708.7151513
09,Gotlands Län,2028,grundskola,7151.513289994065,1137718214.4837449,1049861392.6756268
09,Gotlands Län,2028,gymnasieskola,2457.7640718562875,409361860.42961156,377751131.5554437
09,Gotlands Län,2029,grundskola,7176.293921629592,1170202022.3487675,1079836737.4757934
09,Gotlands Län,2029,gymnasieskola,2470.759041916168,421814442.1978144,389242130.86052954
09,Gotlands Län,2030,grundskola,7228.1201192051,1208119385.2267303,1114826047.5623057
09,Gotlands Län,2030,gymnasieskola,2465.7649700598804,431485887.22591,398166751.4866554
10,Blekinge Län,2024,grundskola,18490.619533906207,2664972684.905358,2459178291.0734243
10,Blekinge Län,2024,gymnasieskola,5962.6,899720053.8523748,830244097.6528122
10,Blekinge Län,2025,grundskola,18764.610785893958,2772073400.4060574,2558008480.219286
10,Blekinge Län,2025,gymnasieskola,6003.789941768132,928583749.5336125,856878952.4314594
10,Blekinge Län,2026,grundskola,18919.812738874756,2864876228.360831,2643644892.610771
10,Blekinge Län,2026,gymnasieskola,6061.785668794398,960992575.1547883,886785183.8960471
10,Blekinge Län,2027,grundskola,19029.844990670565,2953575972.34158,2725495069.183585
10,Blekinge Län,2027,gymnasieskola,6244.565621374728,1014718444.8970308,936362367.4363837
10,Blekinge Län,2028,grundskola,19221.05525871819,3057834584.470219,2821702627.7287116
10,Blekinge Län,2028,gymnasieskola,6389.737785728306,1064266085.4129673,982083962.6312922
10,Blekinge Län,2029,grundskola,19344.96138310483,3154485195.281349,2910889689.6719594
10,Blekinge Län,2029,gymnasieskola,6426.928520369196,1097222036.9827304,1012495071.2379891
10,Blekinge Län,2030,grundskola,19429.97760033248,3247557069.660915,2996774372.198027
