Region_Code,Region_Name,Year,Fixed_Total_Cost_kr,Current_Total_Cost_kr,Forecast_Students
01,Stockholms Län,2024,56786130447.50345,52401027191.25421,389821.9200788515
03,Uppsala Län,2024,9354708233.92408,8632324809.44964,64212.73842450269
04,Södermanlands Län,2024,7332172770.6789055,6765972350.690838,50324.90109381371
05,Östergötlands Län,2024,10789846080.618011,9956639482.799433,74045.45964855432
06,Jönköpings Län,2024,8806477291.13803,8126429031.21755,60447.27862160455
07,Kronobergs Län,2024,4851272836.947762,4476650912.05544,33296.350871760915
08,Kalmar Län,2024,5411699814.441469,4993800910.182091,37148.124849261905
09,Gotlands Län,2024,1305517603.8040874,1204703738.7780995,8961.572972972972
10,Blekinge Län,2024,3564692738.7577324,3289422388.7262363,24453.21953390621
12,Skåne Län,2024,33233345683.320538,30667020702.36779,228167.05674456997
13,Hallands Län,2024,8263780378.515467,7625639929.935795,56720.80602159455
14,Västra götalands Län,2024,39657719655.2664,36595295876.57565,272241.1887416232
17,Värmlands Län,2024,6126024379.12184,5652964363.686858,42049.69844451103
18,Örebro Län,2024,7083407363.716902,6536416908.314888,48622.70598841661
19,Västmanlands Län,2024,6550752846.399225,6044894711.327774,44965.60846897343
20,Dalarnas Län,2024,6437109057.177675,5940026688.917177,44180.75554512171
21,Gävleborgs Län,2024,6310518280.281719,5823211483.528985,43304.39991752407
22,Västernorrlands Län,2024,5356523251.036978,4942885279.256852,36753.6766174539
23,Jämtlands Län,2024,2989181477.1791964,2758352763.8180184,20519.945756719047
24,Västerbottens Län,2024,6074168280.893691,5605112616.63526,41699.90210848767
25,Norrbottens Län,2024,5097022863.5547695,4703423840.254663,34976.0053339219
01,Stockholms Län,2025,59231033474.23743,54657132041.84734,396612.59990753315
03,Uppsala Län,2025,9897106808.093224,9132838745.58579,66263.23985806652
04,Södermanlands Län,2025,7756455823.509418,7157491677.81756,51939.46999361529
05,Östergötlands Län,2025,11236744907.306871,10369028221.051765,75225.62313048352
06,Jönköpings Län,2025,9223178100.59049,8510951680.405703,61757.40255630807
07,Kronobergs Län,2025,5107163200.42767,4712781124.999256,34191.01259254018
08,Kalmar Län,2025,5684255192.854122,5245309229.329782,38062.116921125875
09,Gotlands Län,2025,1363845665.1688328,1258527637.1132042,9132.355288174273
10,Blekinge Län,2025,3700657149.9396696,3414887432.6507454,24768.400727662094
12,Skåne Län,2025,34765870295.96629,32081201980.08532,232824.77139090598
13,Hallands Län,2025,8653408597.84107,7985180555.732089,57942.50665319356
14,Västra götalands Län,2025,41366835808.297386,38172432050.981995,277006.808289299
17,Värmlands Län,2025,6407918484.2849245,5913090215.179047,42912.3225296351
18,Örebro Län,2025,7433922043.299226,6859864455.833044,49772.45503780485
19,Västmanlands Län,2025,6901636557.16431,6368682713.078917,46217.019420457116
20,Dalarnas Län,2025,6737810593.917277,6217507697.760252,45109.65792812094
21,Gävleborgs Län,2025,6626025686.8162365,6114354971.0877495,44361.52091160923
22,Västernorrlands Län,2025,5585734032.919228,5154396158.369848,37383.616849171674
23,Jämtlands Län,2025,3148086376.0688562,2904986838.307514,21079.82758522138
