Region_Code,Region_Name,Age,Year,Forecast_Population
01,Stockholms Län,0,2024,26271.2
01,Stockholms Län,1,2024,26785.062741052083
01,Stockholms Län,2,2024,27182.609686129752
01,Stockholms Län,3,2024,29490.0014888843
01,Stockholms Län,4,2024,28863.855363967425
01,Stockholms Län,5,2024,28791.265015787587
01,Stockholms Län,6,2024,28884.713576198308
01,Stockholms Län,7,2024,29169.654982156135
01,Stockholms Län,8,2024,29928.812215109687
01,Stockholms Län,9,2024,29639.636523484514
01,Stockholms Län,10,2024,30191.787682010654
01,Stockholms Län,11,2024,30195.20639735579
01,Stockholms Län,12,2024,29808.02652822152
01,Stockholms Län,13,2024,29908.62265292881
01,Stockholms Län,14,2024,31172.876665200518
01,Stockholms Län,15,2024,30323.29066212791
01,Stockholms Län,16,2024,30422.652037455722
01,Stockholms Län,17,2024,29773.244537800438
01,Stockholms Län,18,2024,29703.125556145405
01,Stockholms Län,19,2024,29584.98363885436
01,Stockholms Län,0,2025,26271.2
01,Stockholms Län,1,2025,27253.518311864485
01,Stockholms Län,2,2025,27630.533088058823
01,Stockholms Län,3,2025,27954.739409944574
01,Stockholms Län,4,2025,30217.753645559245
01,Stockholms Län,5,2025,29545.073850862984
01,Stockholms Län,6,2025,29424.923392743363
01,Stockholms Län,7,2025,29471.35224960942
01,Stockholms Län,8,2025,29720.475620884317
01,Stockholms Län,9,2025,30481.386125022575
01,Stockholms Län,10,2025,30143.428786924535
01,Stockholms Län,11,2025,30699.970383019612
01,Stockholms Län,12,2025,30679.17429437971
01,Stockholms Län,13,2025,30310.6194133722
01,Stockholms Län,14,2025,30360.59248818816
01,Stockholms Län,15,2025,31611.964216777906
01,Stockholms Län,16,2025,30890.890185110457
01,Stockholms Län,17,2025,30869.741180859117
01,Stockholms Län,18,2025,30362.259719195346
01,Stockholms Län,19,2025,31010.745244189842
01,Stockholms Län,0,2026,26271.2
01,Stockholms Län,1,2026,27253.518311864485
01,Stockholms Län,2,2026,28098.84297795999
01,Stockholms Län,3,2026,28402.625401564484
01,Stockholms Län,4,2026,28682.608590303553
01,Stockholms Län,5,2026,30898.888568166516
01,Stockholms Län,6,2026,30178.6552106596
01,Stockholms Län,7,2026,30011.53286579741
01,Stockholms Län,8,2026,30022.16069038486
01,Stockholms Län,9,2026,30273.06502676891
01,Stockholms Län,10,2026,30985.09865026713
01,Stockholms Län,11,2026,30651.613758054555
01,Stockholms Län,12,2026,31183.904310002592
