Region_Code,Region_Name,year_min,year_max,n_years,n_rows,number_min,number_max,number_mean
01,Stockholms län,1968,2023,56,56,17750.0,29619.0,23749.25
03,Uppsala län,1968,2023,56,56,2919.0,4311.0,3660.1785714285716
04,Södermanlands län,1968,2023,56,56,2282.0,3615.0,2961.6071428571427
05,Östergötlands län,1968,2023,56,56,3920.0,5806.0,4817.696428571428
06,Jönköpings län,1968,2023,56,56,3178.0,4825.0,3947.75
07,Kronobergs län,1968,2023,56,56,1570.0,2460.0,2093.910714285714
08,Kalmar län,1968,2023,56,56,1991.0,3368.0,2563.3035714285716
09,Gotlands län,1968,2023,56,56,454.0,933.0,615.4285714285714
10,Blekinge län,1968,2023,56,56,1298.0,2188.0,1677.017857142857
12,Skåne län,1968,2023,56,56,10991.0,15955.0,13428.107142857143
13,Hallands län,1968,2023,56,56,2541.0,3712.0,3077.25
14,Västra Götalands län,1968,2023,56,56,15177.0,21474.0,18120.803571428572
17,Värmlands län,1968,2023,56,56,2273.0,3964.0,2959.4464285714284
18,Örebro län,1968,2023,56,56,2656.0,3865.0,3180.2321428571427
19,Västmanlands län,1968,2023,56,56,2325.0,4108.0,2997.964285714286
20,Dalarnas län,1968,2023,56,56,2325.0,4083.0,3040.125
21,Gävleborgs län,1968,2023,56,56,2281.0,3973.0,3008.0
22,Västernorrlands län,1968,2023,56,56,1949.0,3581.0,2696.2321428571427
23,Jämtlands län,1968,2023,56,56,1076.0,1944.0,1410.892857142857
24,Västerbottens län,1968,2023,56,56,2380.0,3940.0,2965.535714285714
25,Norrbottens län,1968,2023,56,56,2033.0,3992.0,2877.089285714286
