Region_Code,Region_Name,Model,Forecast_Min,Forecast_Max,Forecast_Mean,Forecast_Year_Start,Forecast_Year_End
01,Stockholms län,exp_smoothing,23072.155251180466,25085.451469734628,23897.126970340443,2024,2030
03,Uppsala län,exp_smoothing,3449.1000670032427,3729.7884385073394,3564.115416584658,2024,2030
04,Södermanlands län,exp_smoothing,1803.6596667443755,2343.1949349598976,2024.7405656529552,2024,2030
05,Östergötlands län,exp_smoothing,3449.4624024518653,4116.5073344544535,3722.7918803695834,2024,2030
06,Jönköpings län,exp_smoothing,2968.5717420091664,3432.852426873254,3158.816193488919,2024,2030
07,Kronobergs län,drift,1930.0294590658664,1955.7209090909091,1941.1631651717876,2024,2030
08,Kalmar län,drift,2032.9587688293182,2091.4327272727273,2058.2991784801625,2024,2030
09,Gotlands län,exp_smoothing,428.79704596420976,453.80887269189407,441.25072145927777,2024,2030
10,Blekinge län,drift,1238.9089812981392,1287.2918181818181,1259.8762792088655,2024,2030
12,Skåne län,exp_smoothing,11628.332897234874,13311.595317651747,12318.069399976599,2024,2030
13,Hallands län,exp_smoothing,2692.6388146882487,2967.03068629908,2805.0740996503764,2024,2030
14,Västra Götalands län,exp_smoothing,14563.44849455449,16732.096559542773,15452.077453342858,2024,2030
17,Värmlands län,exp_smoothing,1696.5136143554587,2156.120918920621,1884.8430934908733,2024,2030
18,Örebro län,drift,2747.8989319134944,2798.6272727272726,2769.882682823275,2024,2030
19,Västmanlands län,drift,2460.198231340625,2544.2,2496.601431771875,2024,2030
20,Dalarnas län,exp_smoothing,2082.738909458054,2349.5867492711964,2192.0829389833602,2024,2030
21,Gävleborgs län,drift,2173.4782359345454,2257.2618181818184,2209.7868825984415,2024,2030
22,Västernorrlands län,drift,1834.7581256804547,1923.7781818181818,1873.336062760844,2024,2030
23,Jämtlands län,exp_smoothing,1112.3942406341573,1151.3865118287554,1131.808939830667,2024,2030
24,Västerbottens län,exp_smoothing,2277.4246963233595,2368.545057458846,2322.794569580906,2024,2030
25,Norrbottens län,drift,1895.8677501274574,2002.7245454545455,1942.1754576890282,2024,2030
