Region_Code,Region_Name,Model,MAE,RMSE,SMAPE,Test_Years,Test_Year_Start,Test_Year_End
01,Stockholms län,exp_smoothing,928.4423902722301,1167.3851516756583,1.6993045711269381,5,2019,2023
01,Stockholms län,baseline_naive,1234.6,1694.3585807024438,2.2401635838536027,5,2019,2023
01,Stockholms län,drift,1606.86,2197.967807862526,2.8787163884399325,5,2019,2023
03,Uppsala län,baseline_naive,164.2,219.4789283735457,2.0089539307780475,5,2019,2023
03,Uppsala län,drift,187.14400000000006,258.25287142643737,2.2773183015083576,5,2019,2023
03,Uppsala län,exp_smoothing,237.9301743086782,317.3336836393657,2.863115134264892,5,2019,2023
04,Södermanlands län,drift,284.9199999999999,350.0672643935732,4.78571198822096,5,2019,2023
04,Södermanlands län,exp_smoothing,289.32575804744755,354.72609786809534,4.854142603789803,5,2019,2023
04,Södermanlands län,baseline_naive,308.2,374.7455136489295,5.145904803314886,5,2019,2023
05,Östergötlands län,exp_smoothing,169.55423130692105,196.5650684783929,1.8024414790770504,5,2019,2023
05,Östergötlands län,drift,269.5399999999998,366.1258117095815,2.8520052533980276,5,2019,2023
05,Östergötlands län,baseline_naive,275.0,377.18138872431126,2.906548210720327,5,2019,2023
06,Jönköpings län,drift,264.5,343.1290573530606,3.3462240003958845,5,2019,2023
06,Jönköpings län,baseline_naive,282.2,361.6426412910955,3.556790738728378,5,2019,2023
06,Jönköpings län,exp_smoothing,363.2826012599435,452.84100482660074,4.505467218489634,5,2019,2023
07,Kronobergs län,drift,132.56799999999993,157.94479541915902,3.065109627600856,5,2019,2023
07,Kronobergs län,exp_smoothing,132.5680124893297,157.9448409427495,3.0651099070648926,5,2019,2023
07,Kronobergs län,baseline_naive,134.8,166.32257814259614,3.114645704117718,5,2019,2023
08,Kalmar län,drift,174.3800000000001,225.9274919083555,3.7184079293838574,5,2019,2023
08,Kalmar län,baseline_naive,212.6,264.97660274069483,4.473810117853137,5,2019,2023
08,Kalmar län,exp_smoothing,286.17820101519175,339.83412292509615,5.888836112068355,5,2019,2023
09,Gotlands län,drift,24.968000000000007,25.725287170408812,2.56704758227771,5,2019,2023
09,Gotlands län,exp_smoothing,26.155785529743866,27.620695449764327,2.690597601149693,5,2019,2023
09,Gotlands län,baseline_naive,31.8,35.9972221150466,3.256068725593434,5,2019,2023
10,Blekinge län,drift,146.13999999999996,163.92187285411302,4.896619040785024,5,2019,2023
10,Blekinge län,exp_smoothing,146.14035557111657,163.922258644641,4.89663020274412,5,2019,2023
10,Blekinge län,baseline_naive,179.8,200.55971679277968,5.938755390559434,5,2019,2023
12,Skåne län,exp_smoothing,665.3835033438274,982.1648909945819,2.2318046592985175,5,2019,2023
12,Skåne län,baseline_naive,743.8,1055.069571165807,2.481160779236179,5,2019,2023
